"","input","filtered","denoisedF","denoisedR","merged","nochim"
"955",31163,28137,27120,27026,22362,10207
"956",43013,39160,38010,37808,33387,16949
"957",53437,49114,47815,48124,41421,22240
"958",51264,47296,45966,46338,39400,11630
"959",27819,24802,23475,23481,16773,9955
"960",27220,24778,23254,23490,16422,9401
"961",36632,33281,31298,31797,22265,10809
"962",45236,41889,40091,41224,38752,14547
"963",25371,21900,20860,21076,16810,12304
"964",23168,18918,18009,18286,16033,8649
"968",18681,15603,14736,14888,11823,7762
"976",35456,31700,29386,30581,24491,7537
"978",30481,26623,24400,25290,19559,8681
"981",29419,26318,23848,25189,20415,5014
"982",32430,29173,27140,28338,25586,3459
"983",18527,16462,13468,14729,10168,5025
"984",37072,33720,30922,32053,24348,10505
"985",51968,48020,45730,46355,35631,25979
"986",23401,19525,18226,18617,15628,12785
"987",33392,29932,28480,29055,23122,11682
"988",25051,22174,20919,21414,16558,8213
"989",19302,15011,14296,14425,11586,7529
"990",26548,22603,21526,21740,16605,11124
"991",52466,48063,43314,45141,12843,12006
